Name,Clan Score
KAI HIWATARI,503
Little8uddy,151
Ballistaaa,255
emnil007,374
Eleiken,337
arggggggah,180
GOD OF UNDEAD,98
devil recite,172
jai hind,322
Yash,159
Admiral-V,202
Uncle Hope,106
madsjeet,252
lolilabo,162
GUDETAMA,138
Born to be King,177
maviphi,133
Pixyy,147
MIT PATEL,143
Max,107
jacob,154
兲 H⊘ʅ⊘ćäυ₴ҭ,104
gautam,109
Izzmanelham,104
Joyotri,107
.Nêmmlm.,110
fail_org,105
Díjú bháí,107
kking,88
kyaw_ein,78
kindstonge17,126
arshul,122
