name,warattack,clancapital,clangames,clangamesmaxed
KAI HIWATARI,25,36,2,0
Chief,0,0,0,0
Ballistaaa,25,24,2,1
emnil007,9,18,2,1
Eleiken,17,30,2,0
LordHoodAs,4,6,0,0
arggggggah,0,33,0,0
GOD OF UNDEAD,0,6,0,0
devil recite,14,28,2,0
jai hind,3,34,2,2
Noob3,0,0,1,0
Yash,0,24,0,0
Uncle Hope,22,0,2,1
madsjeet,19,24,2,2
lolilabo,0,3,0,0
TheBluePurge,0,0,0,0
Born to be King,0,0,0,0
maviphi,0,0,0,0
VSL_SMIT...√,9,24,1,1
iMojamed,0,0,0,0
Max,4,15,1,0
jacob,22,36,2,1
gautam,0,6,0,0
Izzmanelham,3,11,0,0
Joyotri,9,30,2,1
.Nêmmlm.,3,12,2,1
fail_org,22,36,2,2
Díjú bháí,21,34,2,0
MALAY,0,0,0,0
kking,16,34,2,1
jenoslegod,2,0,0,0
pнanтoм,2,0,0,0
rydoly,0,36,2,1
carlitos,6,0,0,0
junmel,0,6,1,0
KING,3,5,1,0
Obsidian Matrix,6,6,0,0
MASTER SARVESH,15,30,1,0
