Name,Clan Score
KAI HIWATARI,557
Little8uddy,151
Ballistaaa,301
emnil007,380
Eleiken,382
arggggggah,196
GOD OF UNDEAD,102
devil recite,203
jai hind,361
Yash,183
Admiral-V,202
Uncle Hope,128
madsjeet,312
lolilabo,171
GUDETAMA,138
Born to be King,182
maviphi,140
VSL_SMIT...√,83
Pixyy,147
MIT PATEL,181
Max,146
jacob,208
兲 H⊘ʅ⊘ćäυ₴ҭ,104
gautam,109
Izzmanelham,138
Joyotri,133
.Nêmmlm.,165
fail_org,150
Díjú bháí,136
kking,124
kyaw_ein,78
kindstonge17,126
arshul,122
