srno,name,warattack,clancapital,clangames,clangamesmaxed,clanscore
171,jonpai,98,203,6,6,337
172,jenoslegod,38,5,1,0,44
173,MASTER SARVESH,54,67,10,1,131
174,AllNaMundy,43,118,5,3,176
175,Bennie,30,115,1,0,146
176,Born to be King,91,178,7,6,311
177,tấn lộc,4,24,1,0,29
178,weeb commander,0,30,5,4,50
179,dragonsaregood,25,17,2,1,44
180,Flix-Flop,24,85,2,0,111
181,*..flow..*,4,77,4,1,85
182,™KingShid™^^,2,47,2,0,51
183,SPARSH☆,20,47,2,2,71
184,MALAY,15,12,3,1,30
185,may thae,6,50,3,2,62
186,lord tuskiee,13,87,4,1,104
187,DmonOP,3,6,1,0,10
188,2ndprototype,30,162,7,0,199
