warattack,clancapital,clangames,clangamesmaxed,active
6,12,0,0,low
9,11,0,0,low
9,24,1,0,average
0,6,0,0,inactive
0,22,0,0,low
3,7,1,0,low
11,24,1,1,average
2,17,0,0,low
14,24,1,1,average
0,0,0,0,inactive
15,24,1,0,average
0,0,0,0,inactive
4,0,0,0,inactive
3,0,0,0,inactive
6,6,0,0,low
2,0,0,0,inactive
0,24,1,0,average
0,6,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,18,0,0,low
0,0,0,0,inactive
0,0,0,0,inactive
3,6,1,0,inactive
6,6,0,0,low
0,0,0,0,inactive
2,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,24,1,1,average
0,0,0,0,inactive
1,0,0,0,inactive
17,24,1,1,substantial
0,0,0,0,inactive
0,6,1,0,inactive
0,6,1,1,inactive
5,11,1,0,low
0,4,0,0,inactive
0,0,0,0,inactive
6,24,0,0,average
1,6,1,1,inactive
0,8,0,0,inactive
6,21,1,1,average
0,0,0,0,inactive
7,18,1,0,average
0,24,1,0,average
0,17,1,0,low
5,24,1,1,average
12,30,1,0,substantial
0,0,0,0,inactive
3,6,0,0,inactive
0,6,0,0,inactive
1,6,0,0,inactive
4,19,0,0,average
0,23,0,0,average
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,18,0,0,low
0,0,0,0,inactive
0,25,1,1,average
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,0,1,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
6,32,1,1,average
0,0,0,0,inactive
0,0,0,0,inactive
17,30,1,1,substantial
0,0,1,1,inactive
0,0,0,0,inactive
0,12,1,0,low
13,30,0,0,substantial
0,0,0,0,inactive
0,0,0,0,inactive
0,11,0,0,low
0,6,0,0,inactive
0,21,1,0,low
12,30,1,1,substantial
0,0,0,0,inactive
11,29,1,1,substantial
6,27,0,0,average
3,18,1,0,low
11,28,1,0,average
19,24,1,0,substantial
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
4,12,1,0,low
2,0,0,0,inactive
0,21,0,0,low
0,6,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,24,0,0,average
0,0,0,0,inactive
20,23,1,1,substantial
0,0,0,0,inactive
0,0,0,0,inactive
0,6,0,0,inactive
0,0,0,0,inactive
10,23,1,1,average
0,0,0,0,inactive
14,17,0,0,average
0,1,0,0,inactive
0,6,0,0,inactive
0,6,0,0,inactive
17,18,1,0,average
0,0,0,0,inactive
0,0,0,0,inactive
0,12,0,0,low
0,6,0,0,inactive
2,12,1,0,low
12,20,0,0,average
4,23,0,0,average
15,24,1,1,substantial
2,18,1,1,low
19,24,1,0,substantial
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
5,12,0,0,low
1,0,0,0,inactive
0,24,0,0,average
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,12,0,0,low
0,0,0,0,inactive
19,24,0,0,substantial
0,0,0,0,inactive
0,0,0,0,inactive
2,0,1,1,inactive
0,0,0,0,inactive
7,24,1,1,average
1,0,0,0,inactive
0,0,0,0,inactive
0,1,1,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
8,14,0,0,low
0,0,0,0,inactive
0,0,0,0,inactive
0,6,0,0,inactive
1,11,1,1,low
6,13,0,0,low
8,14,0,0,low
8,24,1,0,average
14,18,1,0,average
0,18,1,1,low
8,24,1,1,average
17,26,1,1,substantial
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
9,24,1,1,average
0,0,0,0,inactive
0,11,0,0,low
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,17,0,0,low
0,0,0,0,inactive
4,23,0,0,average
0,6,0,0,inactive
0,0,0,0,inactive
1,6,0,0,inactive
0,0,0,0,inactive
4,24,1,1,average
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
5,5,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,18,1,1,low
0,12,0,0,low
2,3,0,0,inactive
0,12,0,0,low
10,23,1,0,average
5,6,1,0,low
2,6,1,0,inactive
12,29,1,1,substantial
0,18,1,1,low
0,0,0,0,inactive
0,9,0,0,inactive
16,30,1,1,substantial
17,26,1,1,substantial
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
9,24,1,1,average
0,0,0,0,inactive
0,11,0,0,low
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,17,0,0,low
0,0,0,0,inactive
4,23,0,0,average
0,6,0,0,inactive
0,0,0,0,inactive
1,6,0,0,inactive
0,0,0,0,inactive
4,24,1,1,average
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
5,5,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,18,1,1,low
0,12,0,0,low
2,3,0,0,inactive
0,12,0,0,low
10,23,1,0,average
5,6,1,0,low
2,6,1,0,inactive
12,29,1,1,substantial
0,18,1,1,low
0,0,0,0,inactive
0,9,0,0,inactive
16,30,1,1,substantial
16,24,1,0,substantial
0,0,1,0,inactive
4,6,0,0,inactive
6,6,1,0,low
0,23,0,0,average
0,0,0,0,inactive
0,12,0,0,low
0,12,0,0,low
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
6,23,1,1,average
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,6,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,6,0,0,inactive
3,18,1,1,average
0,0,0,0,inactive
7,17,1,0,average
0,0,0,0,inactive
12,24,1,1,average
0,0,0,0,inactive
14,24,1,0,average
0,0,0,0,inactive
1,0,0,0,inactive
8,12,1,0,low
0,24,0,0,average
0,0,0,0,inactive
0,23,0,0,average
0,23,1,0,average
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
9,24,1,1,average
10,0,1,0,low
0,0,0,0,inactive
0,0,0,0,inactive
1,0,0,0,inactive
0,3,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
2,15,1,0,low
17,18,1,1,average
0,2,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
12,24,1,1,average
0,0,0,0,inactive
0,23,1,0,average
